Name,Authors,Reviews
,AnnBam W.,"This place recently opened and I gotta say, the rolls were great and really fresh. You can taste the quality of the ingredients used. The staff was also attentive, coming just frequent enough to ask if we want more water or ginger. James was our chef and he was very friendly and inviting. I recommend anyone who enjoys hand rolls and sashimi to try this place out!!"
,Tom L.,"Finally a Temaki Bar on convoy!\n\nShort: Slightly pricy fancy sushi \n\nLong: Coming from LA, one of my favorite things to do is to go get \"
,Joecylin Deean R.,"This place is phenomenal.. I found this spot on the Hot \u0026 new so I had to try it out for myself since I am a die hard sushi lover! Upon entering the server seats us \u0026 gives us a run down of how to order things. They have a small simple menu selection so this place is not somewhere to get SUPER full at without spending some moneeeyyy. \n\nPrice: honestly for the way the restaurant is set up \u0026 that each hand roll is made 1 at a time after you finish each one I knew it wouldn't be some cheap sushi spot price. My bf and I ordered the set of 5 rolls for $21 which is fair enough for the experience!  \u0026 also 2 ala carte Wagyu Shabu beef ones.\n\nFood: lemme tell you..... each one I ate had so much flavor I was eating it so slow I didn't want it to go away. LOL the order we had was \n1.Negi Salmon\n2.Bay Scallop \n3.Maine Lobster \n4. Spicy Toro \n5. Blue crab \n\nAnd we paid an extra $8 for each of us to try the wagyu beef one since there was so many reviews that recommended it. Honestly I would never order a hand roll anywhere else ever again. I love how our chef explained to us their concept.\n\nMade into cylinders instead of traditional cone shape- to ensure equal distribution for the rice and fish! \n\nMade to order ( one at a time to you finish it) - so the rice stays warm, the seaweed stays nice and crisp and the fish doesn't harden up or get warm.\nAll these tips were so helpful and the experience is something to try out! The wagyu beef one topped it all off.. so tender and juicy that I was really about to order another one. We will definitely be back. We didn't eat all day and this actually filled us up! We were at a good full."
,Nathan C.,Pretty decent. But missing one star due to not particularly special tastes from some maki and sashimi on their menu. Their Sashimi is soaked in ponzu. Too much sauce it loses the original taste. Don't like to put good fish marinated in a cheap  sauce. Blue crab and Main lobster makis are 5 stars. All the other you can taste them at other sushi places. For that reason I give 4 Star. But blue crab and main lobster were awesome. ! Yeah I'm rather picky eater.
,Lopez D.,This is already a hot spot and it hasn't even officially opened yet.  I went with a few foodie friends and they all said this is the best they've had. From the raw wasabi to the rolls ...and that yellowtail collar! A must.
,Lauren G.,"Such a great experience to add to the Convoy area!\n\nFreshly opened, this Temaki Bar really presents high quality ingredients and fresh hand rolls to guests. It's the perfect place for a date or a meaningful catch up with friends or family.\n\nYou are seated at a rectangular open bar with the chefs in the center. There's limited seating, so smaller parties definitely will work better - which also helps with the intimate attention you get from the chefs.\n\nThe walls have some amazing art to really add to the hip and classy atmosphere.\n\nThere are a few preset menus and individual rolls you can order - each with their own special umami to them! \n\nI had the first set on the menu, Sashimi Appetizer, and a Wagyu Beef Hand Roll and was very impressed with the quality.\n\nHighly recommend the savory Sashimi Appetizer! It meltsssssss into your taste buds!\n\nOur servers were very nice and attentive and our chef who presented the hand rolls to us over the counter recommended we eat them quickly to enjoy the full quality and perfected temperatures.\n\nA really great dining experience to try and live the good food life!"
,Stefanie H.,Cannot say enough good things about my first experience dining here. All of the food was extremely fresh and flavorful. The staff were attentive and friendly. The time spaced out between each handroll is perfect enough to thoroughly enjoy each different one. My personal favorite was the bay scallop. Highly recommend coming for both the food and experience!!
,Johnathan C.,"This is a fantastic sushi bar. The chic decor and comfortable seats greet patrons as they enter, and the menu provides options for dedicated sushi diners as well as vegetarian friends. The wait staff takes orders and attentively serves throughout the meal. The chefs present hand rolls one by one, all carefully prepared and deliciously flavored. Each roll has a uniquely wonderful taste that is elevated by its warm rice and flame-crisped nori. To eat here is to know delicious sushi."
,Siddharth D.,"Great fresh food, small menu selection which means better quality of food and top service"
,Mike C.,"I was in town for a quick day business trip and decided to stop in for dinner. This place looks modern from the outside with the wood trim. Inside, the mural reminds me of \"
,John H.,"It was my first night in SD and my plan was to just jump between a bunch of different restaurants--J Wata being the very first. On my flight out of SD, though all the restaurants I had hopped around to were great, J Wata just stayed on my mind and I would definitely go back to try everything on the menu. \n\nReading other reviews, you'll quickly find out the format of this place: you select what you want on a piece, pass it to a server, and the server will pass it to the chef (who is right in front of you). He'll make each roll in your order one by one, meticulously toasting the seaweed over an small, open flame while parsing through what you and everyone else has ordered on a tablet. Once the seaweed is toasted and he assembles the hand roll, he'll pass it directly to your hands for you to consume.\n\nI only had a few hand rolls and a miso soup but every single bite I had was so amazing. I wasn't even able to take any pictures because waiting any longer than 30 seconds made the nori less and less crisp and you really have to have the roll go from the chef right to your mouth. The rice was great and the seafood was incredibly fresh.\n\nAnother great thing about this format is that, as a guest, you do not have to wait long before you get your first bite. The chef rotates making rolls between guests so everyone is satisfied. In some sort of way, it's good that you have to wait because you spread out your experience and are able to enjoy eat bite on its own, letting the flavors in your mouth truly sink in before haphazardly moving onto your next piece.\n\nMy only issue is that each roll is fairly expensive--about $4-7 each from what I remember--but it is really worth it and I would not mind splurging here once in a while if I was a local."
,William B.,"I came during the grand opening weekend with a BOGO deal (two sets for the price of one). With the BOGO deal, I do think the price is worth it. However, if I were paying the regular price, this place would be a poor value, especially considering that I wasn't full even after 5 rolls. While the concept and setting is cool, overall the quality of the ingredients is not much better than that used at Pokerrito a couple doors down (given the fact that they are owned by the same owner, I wouldn't be surprised if they used the same exact ingredients). In fact, none of the ingredients are freshly prepared; they are all scooped out of tins you would find at Chipotle and then are assembled like a burrito. At the end of the day, you're paying $22 (before tax + tip) for 5 tiny handrolls when you can walk 20 feet over to Pokerrito and experience 1 humongous handroll (aka sushi burrito) made with the same exact ingredients for less than half the price (with no tip). Or, you could go to a real sushi restaurant and pay the same price for a real sushi chef to prepare handrolls for you with better and fresher ingredients. If they lowered the price by 25% or improved the quality of their ingredients, I would consider going again but at the moment, you're certainly overpaying for what you get.\n\nTaste: 2.5/5 Value: 1/5 Experience: 3.5/5"
,Sachin D.,"I went here with a few friends the other night. Being a vegetarian, I wasn't too sure what to expect but did see that they had a few options on the menu. The restaurant is very stylish and all seating is bar style. The staff is extremely attentive and each seat comes ready with wasabi and fresh ginger. The menu is simple, high-quality hand rolls. Ideally, one would order one of three set menus that vary in size from 3 to 5 hand rolls. I ordered a la carte since I was getting the vegetarian options. \n\nI ordered three hand rolls: mayo avocado, shiitake mushroom, and a Japanese root vegetable one (the name I cannot recall) with shisho. All are made to order, and one at a time. They were all delicious. The manager or owner also said I hard to try the last vegetarian option which was a fresh ginger and shisho hand roll, it was very refreshing and ON THE HOUSE. \n\nMy friends ordered the 3 or 4 temaki hand roll sets and they loved them. \n\nOverall, a nice, unique place that is taking the time to do simple food extremely well. \n\nDefinitely would go back here."
,Jen T.,"I have been coming to this place way too much. I am a bit obsessed with it though.\n\nI love the simplicity of J Wata. They do strictly hand rolls with 1 or 2 sashimi specials. \n\nI have eaten almost every single type here. If you are new, try one of their pre set menus. They give you a great variety and pricing is slightly better than just ordering a la carte. \n\nMy favorites are:\nBlue Crab\nSpicy Toro\nNegi Salmon\n\nThe chef will hand you each roll one by one with the intention of you eating it right away to preserve the crispness of the nori with each bite. They only have counter seating for about 20ish people, so it may be difficult to come with a big group or with small children. I have taken my 3 year old daughter here and she does well as she loves sushi/sashimi. \n\nA great addition to SD food scene as it is unique. Parking is a nightmare but worth it. I come here and then head over to Cauldron for dessert."
,Kevin D.,"Great new spot! The contrast of flavored from the sticky rice, fish, and fresh crunchy nori. My favorites: hamachi (yellowtail), and blue crab"
,Vanessa C.,"Awesome and fun! This is my first time getting the hand roll experience at the bar. I've been to plenty of sushi bars and this felt very similar! It is currently still in soft opening, so the menu suggestion is pretty limited. They have different \"
,Cid I.,"Actual rating: ** 3.5 stars \n(since yelp doesn't allow half stars)\n\nHaving tried Kazunori in LA and be an avid fanatic of the place, I was curious of J Wata ever since I caught wind of it on Eater. Still on their soft opening, there are a handful of things they can still improve on and hopefully they will. Of course, I have a great feeling that J Wata will constantly be compared to Kazunori for those who have had the pleasure of experiencing both. That being said, the food and service were quite alright given that they are still getting things situated. I still have to say my review greatly compares my experience at J Wata against Kazunori, glossing over some aspects and concentrating on others.\n\nLayout: The layout of both eateries are the same. Limited seats surrounding the chefs. I want to say that the number available seats are similar, but the number of chefs serving are lesser at J Wata. The art on the walls was definitely cool though, depicting a Japanese style anime biker gang with one side having a red bike - reminding me greatly of Akira.\n\nService: \nIf memory serves me right, a huge difference is that there are more chefs serving you at Kazunori. I recall having to wait maybe a minute or two tops after finishing my handroll to receive another at Kazunori even when it was jam packed. During my visit to J Wata, the place was half full and had two chefs working the booths. The chefs were working as best they could, but could not keep up with how fast a person might take to eat their roll. I definitely waited a bit after finishing each one. I would hope and suggest that a third chef is brought in once the soft opening is over with. \n\nI do have to point out that the order tracking devices they were using were malfunctioning a bit so that could have added to the delay. As for the chef himself and the wait staff, they were all quite polite and relatively attentive. Nothing bad to say there. \n\nPrice:\nI was a little disappointed in this category. Kazunori definitely has this point beat as the hand rolls there are noticeably cheaper by set and per roll. As it stands, the pricing at J Wata makes me hesitate returning... at least not as much as I visit Kazunori.\n\n\nFood: \nNow here is the part I have to emphasize that I am REALLY comparing this place to Kazunori. It's hard to ignore that J Wata probably takes after Kazunori. The ordering system is the same where you can order hand rolls a-la-carte or as a set. I got a set and ordered something on the side. \n\nThe nori is toasted per roll in order to have them crisp and break apart when you bite into it. Personally, I feel like this wasn't executed perfectly because the center of the nori of each roll I had was chewy, causing the filling (fish and rice) to fall out on the other end. The ends were fine but the center was the problematic point. Kazunori has this down and I don't recall ever having to struggle on any of my visits.\n\nThe rice was good, standardly seasoned as any other sushi restaurant. Even so, there is a stark difference as Kazunori and the Nozawa shops distinctly season their rice. I could taste the difference between the rolls of J Wata and Kazunori. You'd have to try Kazunori or Nozawa to know what I am referring to. By preference, I prefer Kazunori's seasoning more because it allowed me to enjoy the roll without using soy sauce.\n\nThe fish was definitely fresh. Nothing was fishy so I very much enjoyed that. I ordered the 4 set, which included  blue crab, negi yellowtail, spicy salmon, and bay scallops. They were all good and seasoned decently, but I can't say they were great or amazing. Again by preference, I feel that Kazunori wins out again in this category. Both places, the fish was was unmistakably fresh, but Kazunori just adds something else more to the fish to amplify the flavor. My favorite at Kazunori, the blue crab, was a bit more muted at J Wata. For every roll following it, the same sentiment was had.\n\nOverall, J Wata is not a bad place. Despite me making it sound like they are a mess, it's good. It's just that, in my opinion, it has very big shoes to fill if they are actually modeling themselves after Kazunori. There's good reason that Kazunori and Nozawa constantly has lines out the door. I just truly hope that J Wata works it out or establishes itself to be a real contender in the future once the dust has settled."
,Julie S.,"This place is amazing. From the super talented chefs to the super friendly staff, the entire place earns its 5 stars! Come for the ambiance but stay for the food. The Spicy Tuna hand roll blew my mind and miso soup kicks some serious ass. Do your self a favor and stop by J Wata for some delicious food."
,Wynn M.,"I think the Raki family is trying to take over this overcrowded, terribly awful parking strip mall. This is a novel new Temaki Bar essentially perfecting sushi hand rolls. The seaweed nori is toasted and crisp for each roll. Quality of ingredients is very good so far on opening. Prices can add up quickly - e.g the lobster roll costs ~ $7.50 and can be finished in 2-3 man bites - you'll end up nibbling them to make the rolls go farther.   Most of the rolls are $5-6 or so. The set menus are a little better. Good food but don't go hungry. An upgrade from Raki - never very impressed by them but they do pack 'em in."
,Alan D.,"Awesome place. My girlfriend has celiac's and has to do gluten-free (GF). They were very, very attentive to that and made sure to highlight the items in the menu that were gluten free. They also have gluten free soy sauce.\n\nThe hand rolls were EXCELLENT. I loved the negi salmon, bay scallops, and the Maine lobster. The blue crab hand roll was extremely fresh and amazing. The seaweed was wonderfully crispy, the rice was good, and the fish was fresh.\n\nThis was their soft opening so I don't know what it will be like after the grand opening. I would suggest a more  sake selection, but that's my only complaint. I loved the casual bar setting, fast service, and great service.\n\nUpdate: They had a highlighted menu up front for the servers to reference so they knew what was gluten free. The manager remembered my girlfriend and I from our last visit and he told us about some of the recipe changes they made, including changing the mayo they use so the hand rolls (blue crab, Maine lobster, bay scallop) were GF now. Awesome that they were willing to make that accommodation we appreciated that they remembered us."
,Suzan Y.,"It's solid. However, I don't think it was mind blowingly good for the price that you pay. My brother definitely left still hungry, so we went to another store to grab more food.\n\nThe chef was very nice though!"
,Drew C.,"Delicious and hip. The quality of the rolls is outstanding. They put a great deal of effort into making each roll by hand and make sure it comes out perfect each time. The service was outstanding too, whenever we needed anything they were able to provide it quickly. I was very surprised of the price for the quality, you're definitely getting your money's worth here. \n\nI recommend coming to try it out. This is going to become a very popular place in San Diego."
,Gina B.,I got 2 Negri Salmon and a Negri Toro..each made and handed to me one at a time.. wow.. these are way yummier than any other place.. they sear the nori (seaweed) so it's crisp.. then they create the perfect size roll for easy eating. The fish was divine and the sushi rice perfection..this exceeded my expectations. I equate it to eating in Italy where they use very few but quite exceptional ingredients. The service was spot on as well.. this is a perfect place to start with a lil something as u wait for your table at Raki Raki Ramen
,Amanda C.,"Overall experience is just okie. Coming from LA we are very blessed to have Kazu Nori. Therefore when compared I would still pick Kazu Nori. \n\nFreshness of the fish is very good. However I think the lobster and the crab marination could be changed. I can definitely taste the wateriness residue from the protein. Maybe they need to squeeze out the excess water before mixing their mayo and seasoning. \n\nI did not like the part where we can not take out the spicy option from the set menu. Some people may prefer non spicy. \n\nAlso the order of how the fish is presented is very random. I think it would be better if they presented the fish according to light to heavy. I started with lobster which I think messes up the taste palette. So maybe start with toro, salmon, scallops, crab, lobster. \n\nThey heated the seaweed which was interesting. I would definitely give it another chance granted it just opened. And there is nothing like this in SD. \n\nIf ever the chef/owner can try Kazu Nori in LA. I would definitely recommend so they can get some inspiration."
,Owie P.,"One of the best Temaki bars I've been to. The chefs actually talk to you to have a conversation which is always a plus. I mean, that's sorta why you go up to the bar seat, to have a more intimate time between your food and how it's made. My top faves were the negi salmon and the blue crab. V fresh on ya mommas! I can't help it drool while I'm writing this. If you like the poke shop next door, I'm sure you'll love this!"
,Silvia L.,"Its an unique and pleasant dining experience. It definitely is on the pricey side, which is why I am glad I was able to use the BOGO deal they had for their grand opening. The staff were attentive and the chef was able to deliver each hand roll at a good pace. I like the pacing since it gives us time to enjoy and savor the taste in each and every bite. Enjoyable but probably not a place that will fill you up."
,M O.,Nothing special in this restaurant. I am guessing it will remain in soft opening until it eventually closes. Parking situation is terrible in that area to begin with. \n\nI ordered some salmon and hamachi appetizers; they looked like some scrap leftovers when a fish is filleted. Not sure of the taste with that sauce whatever it was.\n\nMenu - not whole lot of choices.  Their \
,jun l.,"Straight out of swanky harajuku!  The space is absolutely stunning.  With the chefs hand rolling each order in the center its a culinary performance that pleases the eyes and appetite.  The edgy murals remind me of the street scenes of young rebels on the Tokyo streets.  As Unapologetically irreverent as Japan generally is apologetically reverent.  The urban vibe combined with the clean lines of this Temaki bar is also reflected in the food.   Leave your past experiences with the typical handroll at the door.   The jwata handroll is wrapped In sumptuous Nori hand warmed on an open flame in front of you.  Yes, hand - warmed - on an open flame !  The Sushi rice is light , fluffy , and delicately seasoned.  The fish is supple, rich , and infused with some kind of essential sauces ?  What can be better ?  The Wagyu beef swish, swished Shabu Shabu style.  What can I say.  Arigato!!"
,Alex V.,"Had to give this place a try since I'm a sucker for handrolls. First impression, the place is kinda small with a U-shaped bar that sits around 20 people. It allows the chefs to interact with their customers which makes the experience much more interesting. The handroll is served 1 at a time directly to your hand to ensure freshness. The rolls are simple yet full of flavor - crispy seaweed wrap, well seasoned rice, good quality fish and a hint of a herb or other flavor depends on the roll.  I got the SAN combo with uni and unagi added.  All of them were really good. My favorite would be the blue crab and uni. They both have a very rich and delicate flavor. I totally recommend this place to anyone who appreciates a delicate yet satisfying Japanese flavor."
,Julie B.,"Came in for their grand opening which they offered a BOGO deal! It was a very unique dining experience. Upon arriving, our waiter sat us and explained how the dining experienced worked. They give you a order menu in which you check what you would like to order and then they give it to the chef. My boyfriend and I both ordered the \"
,Evan G.,"This little concept is fire. Hand rolls, apps and incredible service. Part of the raki raki restaurant family, the food quality is exquisite. I'm not often a yelp reviewer, yet this place has the sauce. I went maine lobby, blue crab, ikura, spanish mackerel app, negi yellowtail, bay scallop, wagyu, and yellowtail sashimi. Double down on the spanish mack. It's the mackD. Ask for it if you're a foodie. It's not on the menu."
,Tania D.,The food was ok ..... super expensive not very satisfying.. I wouldn't go back. One small roll for over $5.. service was good
,Erin K.,"Came in for J Wata's soft opening, and I was delighted by what a unique dining experience it is! I was only used to eating temaki in the cone shape. The chef, James, was really friendly and explained that the round/cylinder shape allows for better distribution of ingredients. The fish was very tender and flavorful, and the hand rolls felt delicately and carefully put together. \n\nIt's pricey for everyday dining, but definitely an experience to see the nori flame-roasted and to taste hand rolls straight from the chefs. I would totally come again for a special occasion or when I want to impress someone with how refined my tastes are."
,Marivic R.,"Hubby and I really enjoyed their hand rolls, especially the bay scallops! We loved it so much we ended up ordering 3 of the Go set menu each consisting of 5 hand rolls!!! The only complaint I have is how they give you a small amount of their premiun soy sauce and a tiny ball of wasabi (see pic). Throughout the meal, I had to ask for 3 refills (which is a hassle) and yet it was not enough. Finding parking in this place is close to impossible, we're lucky enough to find street parking across the street. But they do have this 2 story parking structure across the street by Jasmine restaurant charging only $1 per hour."
,Lora B.,"The concept behind this 24-seat bar are premium handrolls! The menu is small but that is because each handroll is made right in front of you and served personally by the chef. The chef waits until you have finished eating your current roll before making the next one.\nMy husband and I were able to dine in on one of the Grand Opening weekends.  They have been opened for about a month and the word has gotten out.  We came right at 11 am and had no problem getting a seat. When we left 55 minutes later, there was a line.  All of the staff we interacted with were very friendly, made us feel welcome and answered any questions I had.\nOne novelty of this place is that they roast each seaweed on top of a charcoal open flame to get it toasty. You can hear the crunch when you take a bite. I really enjoyed the texture of the nori!\nThey give you a disposable wet towel to wipe your hands with when you sit down. Even though there were chopsticks available, I just used my hands! The usual cone-shaped hand rolls hold everything at the bottom, but these were open ended rolls, so if you are prone to being clumsy like me, you had to be careful because the filling easily came out once you were near the end of the roll. \nWe chose the Go set that came with 5 rolls.  There are no substitutions and no splitting plates.The rolls are about five inches long packed with simple ingredients.We started with the Maine Lobster roll. It was packed with a lot of lobster meat! Delicious! The next roll was the Spicy Tuna roll. It was great, but we're used to eating this sushi so it didn't make that big of an impression. The third roll was a Bay Scallop roll. This was one of my favorites! You can taste the freshness of the seafood and the mayo ratio was just right! The fourth roll was a Negi Salmon roll.   Again, one of our regular sushi rolls. It was also good. The last roll was the Blue Crab roll.  It was heavenly! The sweetness of the crab melted in my mouth! This was very yummy.\nOne might think four or five rolls doesn't make for a filling meal, but when you take the time to savor each one and patiently wait for the next while having good conversation, I was satisfied! This also leaves some room for dessert. The receipt offered a 15% off a same day purchase at the Angels and Hearts creperie next door. Yogurt World and the newly opened Cauldron are a few doors down as well. \nThe atmosphere is like an open exhibition kitchen with interesting art on the walls.  Initially there was only one Chef working while Chef Brian was still prepping. But once the place filled up,  Chef Brian jumped in to start filling the orders. I'm glad too because I wanted some \"
,Janet K.,"Nothing spectacular about this place. My boyfriend and I LOVE sushi so we definitely wanted to check out this restaurant. The price is pretty expensive for what it is. We got a course of 6 maki rolls for almost $30 per course. We only received 5 of the rolls and asked where the 6th one was. The chef swore he gave us all of them but we never received the toro roll. He gave it to us in the end and we definitely have not had it. He confused the salmon roll he gave us for the toro. The fact that he made us feel pretty bad for reminding him totally threw me off. It's a shame because the maki was pretty fresh and delicious. However, I'm definitely not coming back."
,Myungja K.,"It was new dining experience. Never seen anything like this even in Japan! You should go, experience it yourself. Taste? Of course very good. This is a total package!\nMyungja"
,Jenny G.,"Disclaimer: I LOVE handrolls so couldn't wait to try this place. The fish is indeed fresh, and the warmed/toasted nori is a very nice touch. However I felt the value was lacking for what you get. Limiting factors include: a predominately handroll menu so maybe not enough a selection to sustain a business in this area. They also don't do to go orders so you cannot share the goodness with anyone unless they actually come to the joint. The parking is the worst too, so that alone almost makes it not worth coming back to."
,Leslie C.,Happy there's a Hand Roll restaurant in San Diego! This one is definitely worth the try.\n\nFood: I got the \
,Francine P.,"Love this!! FINALLY a warm sushi handroll place in San Diego. This place comes really close to Kazu Nori in Los Angeles. For a soft opening,  the service was great and food on point.  The blue crab and wagyu beef were a hit with the kids. The price was fair for the quality of ingredients. Will definitely return!"
,Greice C.,"So, I was waiting to go to this new place since they opened the restaurant.\nI received an email with a special invitation and then I decided to check it out.\nI got there at 7pm and it was alright to get two seats.\nWe ordered and omg it took forever to start receiving the hand rolls. Our server forgot our water and we needed to keep asking for it . We ran out of soy sauce and we asked her for more, we ended up asking for the couple seating close to us if we could  have some of their soy sauce.\nWe left the restaurant almost 9:30/10pm.\nThe bill was pretty expensive for little hand rolls.\nAnyway I had the discount but guess what?! \nI just realized the same server who was serving us didn't give me the discount.\nI was so upset that I didn't wanna come back there.\nIn a nutshell I won't come back there.\nI hope you all have better experience than me."
,Morley J.,"We spent $50+ at this place and left so hungry we had to find another spot in Convoy to eat at.  The food is decent - fish quality is similar to what you'd find at Poke bowl places (sashimi is not cut on the spot, but stored in Tupperware containers Subway style).  The idea of being served handmade temaki rolls from a chef at a bar is a pretty cool experience,  but then again you have to wait for the chef to cook one hand roll at a time for everyone seated at the bar - not a good idea when you're hungry! Overall the portions are too small and the quality is mediocre at best.  Maybe a good appetizer spot but not if you're looking for a good meal at a good price!"
,Shingo H.,Went because the Kazunori in la is pretty dope. Same concept but falls short. Service was much slower than expected with subpar fish.
,ka a.,"First time at J Wata and it was delicious! The hamachi sashimi had a nice clean refreshing finish to it, and the hand rolls were perfect balance of rice to fish and so good! The chef kept a nice pace as he carefully prepared the next roll after I was done with each roll, to ensure quality and integrity of the roll. Can't wait to go back on my next SD visit!"
,Jordan T.,"Of my two visits J Wata has quickly become my favorite Japanese restaurant in San Diego. When first entering you are immediately drawn to the hip murals wrapped around the walls. The menu is very simple and to the point. You can either order individual rolls or get a pre set option. I have tried the spicy salmon, unagi, spicy toro, Maine lobster, negi yellowtail, blue crab, and the negi salmon. All of them were amazing with the unagi and spicy salmon being my favorites. The unagi has a perfect amount of bbq flavor without it being an overkill. I loved the creamy texture of the spicy toro and how well the rice complements the fish. Service is awesome, they definitely aim to make everyone have a personalized experience. The chef James is very knowledgeable about the menu as well as being great to talk to! The quality and the experience you get doesn't compare to anywhere else in San Diego."
,Karina D.,"Amazing hand rolls only second to their exceptional customer service. I went on a weekday at 11:45am trying to beat the lunch rush and was surprised to find the place semi empty. If you're near the Convoy area, do not skip out on this new hand-roll bar. We were well attended and the sushi chef worked his magic to make sure each roll was delivered timely. Would absolutely recommend and can't wait to come back."
,Maureen C.,"Great service, cool place and the food was good but the rolls are small.  Not a 5 star because of the size, these are more like appy size. \nI did enjoy the food but I will stick with the cone hand rolls as you get twice as much for the same price."
,NBoogie V.,This is quite the experience. It tastes delicious and it's such a nice change from all the sushi places that make crazy rolls with sub par ingredients. The hand rolls are simple yet so delicious. I would come here every day if my wallet allowed. \n\nThis place is going to get busy once people start hearing about it so go now and get it while you can. Hopefully it doesn't go down in quality once it gains popularity. And I swear if you complain about slow service maybe you shouldn't come here. The serving of the rolls is very personalized and the serving is spaced out so you can enjoy your food. \n\nRight now they really seem to care about honing their craft and making sure everything is perfect.
,Christina V.,"I wanted to thank Chef Brian for the great service and made our dining experience as wonderful as it could be. Server Vincent with the great smile and didn't stop me from my #sundayfunday drinking. The host, I never got your name but I know you tried your best to help me understand the concept of the restaurant. That being said, we also went for the #grandopening event BOGOF #stealdeal. Of course, we went for the baller status and got the GO set. We really enjoyed the Maine \u0026 Blue Crab Temaki. They are served with a house creamy sauce. Best Spicy Tuna I ever had and it wasn't that crazy neon red color. Here is couple #freetips: Pass on the Wagyu Shabu. It was tender but bland. End your Temaki experience with Unagi. They boil it and torch it up and it is a just prefect way to end your meal. Try the white wine. Want to know a secret menu item? If you come an hour before they close, ask for the Brian's special. They can serve you the Shabu broth that has been simmering all day with Wagyu Beef. #extraprotein. You are welcome, friends. :)"
,Kendra L.,Delicious!!! Definitely our new go to date spot! The servers were friendly and attentive and everything was fresh!
,Jeff U.,"If you are looking for Japanese food, this is not the place for you.  While the food was good, it was pre-prepared seafood, meaning the seafood contents are premixed with a tasty sauce.  Not traditional by any means.  if looking for sushi, go elsewhere.  The place seemed clean and nice.  we had the spicy salmon, blue crab and lobster hand rolls.  We were expecting something freshly prepared.  They were all pre-mixed fillings."
,Connie T.,My girlfriend and I came here at lunch time around 11:30AM and it wasn't very busy which we were happy about. We had the GO combo and wagyu and it was pretty tasty. We both agreed that it was awkward AF every time one of the chefs would walk up to us and hand us a handroll. Why isn't there a small plate on the bar where the chef could place the handroll when its ready? Instead we had to do this awkward exchange with the chef/stranger 5-6 times to eat.
,Jay X.,"I timed two recent visits for a time between lunchtime and dinner to avoid crowds and it paid off, immediate seating excellent service. The food was awesome, could taste the freshness of the various fish and seafood. The hot green tea is excellent as well. The staff are professional and skilled.  The cool decor and music add to the experience."
,Jake L.,"Very glad there is a place like this in San Diego, no more relying on LA trips to get Kazunori. If only the parking situation was a bit better in this area, it'd be a slam dunk. Handrolls were great, and service was even better!\n\nLooking forward to coming back."
,Angela L.,"If I had to describe my dining experience in three words: artistic, fresh, and addictive. \n\nArtistic: You're seated at the bar overlooking the masterful chefs as they prepare each roll to order. Their craft and dedication to quality work are mesmerizing- the way they wave the nori over an open flame, the way they shape the freshly cooked rice, the way they cook the indulgently fatty wagyu shabu meat, I could go on. You've got a front row seat to watch this beautiful dance.\n\nFresh: There's never been a more appropriate place to eat with your hands. You select your meal set (ranging from 3-5 rolls each), then the chef prepares each roll by hand before you. Your chef hands you the rolls and they encourage you to receive each roll by hand (instead of letting them place it on your plate), this way you can immediately begin eating it. From the start, they emphasized the urgency of eating the rolls immediately in order to preserve the integrity for the ingredients. Each roll uses super high quality ingredients- the fish is light and pure, the rice is warm and flavorful, and the nori is toasty and crisp. If you're anything like me, I've been taught to always wait for everyone to receive their food before eating, so it was a bit weird to start eating before my friends got their rolls, but again, you have to eat the rolls while they're fresh. And no worries, the chef keeps a watchful eye in order to control the pacing of your meal. They're mindful to provide you with some time between rolls to savor each one, that way you're never overwhelmed or rushed, while also ensuring you're never waiting too long for your next roll. \n\nAddictive: Oh man, my friends and I joked about inquiring how much it'd cost to rent out a seat at the bar and set up permanent residence. But honestly, even before our meal set was over, we were bummed that our dining experience was coming to an end. We're definitely going to be returning soon.\n\nThe only con would be parking. It's located in the same plaza as RakiRaki and Pokkirito (same owners); parking has always been challenging in this plaza, but I'm sure with the success of this restaurant, parking will be nearly impossible. Good luck, it's worth the wait."
,Nazanin N.,I went for dinner with my husband and 2 other friends. The place is small and they make your order one at a time. You sit around the bar next to other people and they are standing in the middle making everyone's order. It's pretty interesting and fun. It is an actual Temaki Bar no other sits or tables. Which makes it unique
,Ed R.,"The rice and nori are good and the waitress was cute and friendly. Those are the only good points.\n\nThe hamachi hand-roll was mild, the toro was totally flavorless, the spicy salmon was not spicy but at least was decently fresh, and the blue crab was alright. But all of them were really tiny. The price seems cheap but it's really not when you factor in how extremely tiny the amount of fish in each roll is, as well as how mediocre it all was.\n\nEven the hot tea was served in a cup that burned my hand if held for more than a second. And it just tasted like hot water, not tea."
,Melissa L.,"Best hand rolls I've ever had! Such incredibly nice staff and wonderful food, highly recommend."
,Tawny B.,J Wata Temaki Bar is an experience of its own. It brings the intimate experience of Japanese culture cuisine to Convoy. It definitely isn't a place to go if you plan to stuff yourself but the food is definitely quality. My favorite hand rolls were the scallops and yellowtail. In addition to those I also order the wagyu which was delicious as well. Would definitely recommend this place!!
,salvador p.,"I rarely give 5 stars but this place deserves it. Simple menu, good service, incredibly fresh and  great tasting  hand rolls. The chef hands the freshly made rolls to be eaten immediately. The toasted nori adds perfect texture. Good value for the money. If there is a downside, it is the availability of parking."
